"CohortGroup","cohortname","TotalUsers","Days0to6","Days7to13","Days14to20","Days21to27","Days28to34","Days35to41","Days42to48","Days49to55","Days56to62","Days63to69","Days70to76","Days77to83","Days84to90","Days91to97","Days98to104","Days105to111","Days112to118","Days119to125","Days126to132","Days133to139","Days140to146","Days147to153","Days154to160","Days161to167","Days168to174","Days175to181","Days182to188"
16,"2015-04-15 to 2015-04-22",113,"66.37% orderers ( 75 )","28.32% orderers ( 32 )","23.89% orderers ( 27 )","20.35% orderers ( 23 )","22.12% orderers ( 25 )","10.62% orderers ( 12 )","18.58% orderers ( 21 )","11.5% orderers ( 13 )","24.78% orderers ( 28 )","25.66% orderers ( 29 )","16.81% orderers ( 19 )","15.04% orderers ( 17 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"66.37% 1st time ( 75 )","10.62% 1st time ( 12 )","1.77% 1st time ( 2 )","4.42% 1st time ( 5 )","2.65% 1st time ( 3 )"," ( NA )","3.54% 1st time ( 4 )"," ( NA )","5.31% 1st time ( 6 )","2.65% 1st time ( 3 )","1.77% 1st time ( 2 )","0.88% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
17,"2015-04-22 to 2015-04-29",221,"68.78% orderers ( 152 )","23.08% orderers ( 51 )","15.38% orderers ( 34 )","14.93% orderers ( 33 )","16.29% orderers ( 36 )","17.19% orderers ( 38 )","14.03% orderers ( 31 )","12.22% orderers ( 27 )","14.03% orderers ( 31 )","15.84% orderers ( 35 )","11.31% orderers ( 25 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"68.78% 1st time ( 152 )","5.88% 1st time ( 13 )","3.17% 1st time ( 7 )","4.98% 1st time ( 11 )","2.71% 1st time ( 6 )","3.17% 1st time ( 7 )","0.9% 1st time ( 2 )","2.26% 1st time ( 5 )","2.71% 1st time ( 6 )","2.26% 1st time ( 5 )","3.17% 1st time ( 7 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
18,"2015-04-29 to 2015-05-05",163,"70.55% orderers ( 115 )","20.25% orderers ( 33 )","20.86% orderers ( 34 )","20.86% orderers ( 34 )","17.79% orderers ( 29 )","17.79% orderers ( 29 )","20.25% orderers ( 33 )","17.79% orderers ( 29 )","18.4% orderers ( 30 )","7.36% orderers ( 12 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"70.55% 1st time ( 115 )","7.36% 1st time ( 12 )","3.68% 1st time ( 6 )","5.52% 1st time ( 9 )","1.23% 1st time ( 2 )","3.68% 1st time ( 6 )","3.07% 1st time ( 5 )","2.45% 1st time ( 4 )","1.84% 1st time ( 3 )","0.61% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
19,"2015-05-06 to 2015-05-13",157,"64.97% orderers ( 102 )","23.57% orderers ( 37 )","16.56% orderers ( 26 )","21.66% orderers ( 34 )","19.75% orderers ( 31 )","17.83% orderers ( 28 )","22.29% orderers ( 35 )","15.92% orderers ( 25 )","5.1% orderers ( 8 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"64.97% 1st time ( 102 )","9.55% 1st time ( 15 )","3.82% 1st time ( 6 )","6.37% 1st time ( 10 )","2.55% 1st time ( 4 )","4.46% 1st time ( 7 )","5.1% 1st time ( 8 )","2.55% 1st time ( 4 )","0.64% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
20,"2015-05-13 to 2015-05-19",154,"67.53% orderers ( 104 )","18.18% orderers ( 28 )","21.43% orderers ( 33 )","16.88% orderers ( 26 )","18.18% orderers ( 28 )","20.13% orderers ( 31 )","14.94% orderers ( 23 )","10.39% orderers ( 16 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"67.53% 1st time ( 104 )","9.74% 1st time ( 15 )","5.84% 1st time ( 9 )","3.25% 1st time ( 5 )","5.19% 1st time ( 8 )","5.19% 1st time ( 8 )","1.95% 1st time ( 3 )","1.3% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
21,"2015-05-20 to 2015-05-26",183,"72.68% orderers ( 133 )","28.42% orderers ( 52 )","25.68% orderers ( 47 )","19.13% orderers ( 35 )","25.68% orderers ( 47 )","20.77% orderers ( 38 )","12.57% orderers ( 23 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
